evaspot_name,japanese_name,evaspot_kind_name,diskinds,evaspot_capacity,cities_name,cities_subdiv,cities_subarea_name,shelter_status_name,longitude,latitude,内水氾濫,土石流,地震,大規模な火事,崖崩れ・地滑り,津波,洪水,高潮
ＪＡテラル越前中支店駐車場,ＪＡてらるえちぜんなかしてんちゅうしゃじょう,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市滝波町５丁目７０１,村岡地区,未開設,136.495047,36.074124,0,1,1,0,0,0,1,0
勝山市市民交流センター,かつやまししみんこうりゅうせんたー,指定避難所,[],254,勝山市,勝山市片瀬町1-402,猪野瀬地区,未開設,136.515615,36.053215,0,0,0,0,0,0,0,0
片瀬第１公園,かたせだいいちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市片瀬町１丁目４２６,猪野瀬地区,未開設,136.51403,36.053142,0,1,1,0,0,0,1,0
片瀬第２公園,かたせだいにこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市片瀬町２丁目４０9,猪野瀬地区,未開設,136.517741,36.050642,0,0,1,0,0,0,1,0
猪野公園,いのこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市猪野５０１,猪野瀬地区,未開設,136.515684,36.045619,0,1,1,0,0,0,1,0
立川第１公園,たてかわだいいちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市立川町１丁目６０１,勝山地区,未開設,136.499875,36.054825,0,1,1,0,0,0,1,0
立川第２公園,たてかわだいにこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市立川町２丁目８３６,勝山地区,未開設,136.498671,36.054028,0,1,1,0,0,0,1,0
北部第４公園,ほくぶだいよんこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市芳野町２丁目１－１１,勝山地区,未開設,136.498923,36.066885,0,1,1,0,0,0,1,0
荒土小学校グラウンド,あらどしょがっこうぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市荒土町伊波２－２８,荒土地区,未開設,136.475153,36.082572,0,1,1,0,0,0,1,0
勝山北部中学校グラウンド,かつやまほくぶちゅうがっこうぐらうんど,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市荒土町伊波２１－２,荒土地区,未開設,136.464579,36.077181,0,1,1,0,0,0,0,0
新保第２公園,しんぼだいにこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市荒土町新保８,荒土地区,未開設,136.485564,36.07355,0,1,1,0,0,0,1,0
新保第１公園,しんぼだいいちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市荒土町新保１１－５０１,荒土地区,未開設,136.481131,36.07372,0,1,1,0,0,0,1,0
